video_id,title,description,channel_title,view_count,like_count,comment_count,atomberg_mentions,atomberg_comment_mentions,orient_mentions,orient_comment_mentions,havells_mentions,havells_comment_mentions,crompton_mentions,crompton_comment_mentions,usha_mentions,usha_comment_mentions,luminous_mentions,luminous_comment_mentions,bajaj_mentions,bajaj_comment_mentions,overall_sentiment,overall_sentiment_score,atomberg_weighted_mentions,orient_weighted_mentions,havells_weighted_mentions,crompton_weighted_mentions,usha_weighted_mentions,luminous_weighted_mentions,bajaj_weighted_mentions
3wkfkBYNnzU,Modern Ceiling Fan | Bladeless ceiling fan SMART CEILLING FAN with light #viralshort #ceilingfan,"Buy now:-
🛍️🇮🇳:-   https://amzn.to/46WWVKj  

🇺🇸:- https://amzn.to/4fEaAIx
 
Modern Ceiling Fan SMART CEILLING FAN#viralshort #ceilingfan #gadgests #modercellingfan0#shorts #youtubeshorts #shortvideo
@Fact2Fact @hopescope @BollywoodHungama 

your Queries 
ceiling fan
bldc ceiling fan
xaujix ceiling fan
ceiling fan yellow wire
ceiling fan youtube
ceiling fan yang bagus
ceiling fan uk
ceiling fan youtube video
modern smart ceiling fan
smart ceiling fan
fan modern
bldc smart ceiling fan
bldc smart fan
ceiling fan smart
modern ceiling jhumar
lg smart ceiling fan
modern smart ceiling fan with light
olvon modern smart ceiling fan with light
fandian 36 modern smart ceiling fans with light
modern forms smart ceiling fan
modern forms aura smart ceiling fan
modern smart ceiling fans
modern forms smart ceiling fans
ceiling fan
modern ceiling
 fan,ceiling 
fan installation,
modern fan
best ceiling fan
ceiling fan with light
modern ceiling fans
diy ceiling fan
ceiling fan connection,
ceiling fan wiring,
how to install a ceiling fan
ceiling fan falling down
ceiling fan with led light,
ceiling fans
fan
52 inch ceiling fan,
honeywell modern ceiling fan,
ceiling fan makeover,
smart ceiling fan
,modern fan company,
modern ceiling fan upgrade,
modern enclosed ceiling fan
ceiling fan
ceiling fan price
usha ceiling fan under 1000
takealot ceiling fan
ceiling fan under ₹2000
ceiling fan under 700
ceiling fan under ₹3000
usha ceiling fan
usha swift ceiling fan
usha ceiling fan price under 1 000
universal ceiling fan remote
usha ceiling fan high speed
toy ceiling fan
unique ceiling fan
usha ceiling fan 1200mm price
ventilador ceiling fan with light
ceiling fan with remote
ceiling fan with chandelier
ceiling fan with led light
ceiling fan with remote control
white ceiling fan with light
two blade ceiling fan
taurus ceiling fan
orient 1400mm ceiling fan
best quality ceiling fan
ceiling fan price under 1000
ceiling fan price under ₹1000
polycab ceiling fan
polar ceiling fan
price ceiling fan winding machine rate
polar ceiling fan price
plastic ceiling fan
ceiling fan best quality
ceiling fan remote control
types of ceiling fan
ceiling fan rate
ceiling fan thailand
ceiling tower fan
electric fan toy
ceiling fan bldc technology
ceiling fan cape town
cooling tower fan
electric table fan
toofan ceiling fan
white ceiling fan with light and remote",Smart Home ,372155,0,43,0,0,1,0,0,0,0,0,6,0,0,0,0,0,POSITIVE,0.9997,0,372155,0,0,2232930,0,0
sszo5Hbdjoo,Atomberg BLDC Ceiling Fan | Sabse smart fan india ka | smart ceiling fan review #Shorts #DIY Part-1,"Atomberg Renesa Smartest Fan in India?  BLDC + 🌟 5-star 🌟 BLDC fan, Remote Ceiling fan for Home, Works with Alexa #Shorts
Looking for a stylish and energy-efficient ceiling fan? Meet the Atomberg Renesa Halo Smart 1200mm – India's smartest fan, featuring a BLDC motor, voice control, IoT capabilities, and an LED speed indicator. Perfect for modern homes. 3-Year Warranty, Newly Launched.
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
🌟Please leave a LIKE ❤️ and SUBSCRIBE 🔔 For More Videos Like This! 🌟
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
#Atomberg 
#smartfan  
#ceilingfan 
#TechReview 
#homeappliances  
#5star 
#fans 
#fanspowerconsumption
#fanpower  
#shorts",kawaljeet kaur,16441,149,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE,0.9907,65764,0,0,0,0,0,0
MQES_LprVeY,Ceiling Fan with Lights & Remote – Stylish & Functional Home Upgrade!,"Ceiling Fan with Lights & Remote – Stylish & Functional Home Upgrade! 


#CeilingFan #FanWithLight #HomeDecor #SmartHome #LEDFan




🏡 Upgrade Your Home with a Smart Ceiling Fan! 💨
This low-profile ceiling fan with built-in LED lights & remote control is the perfect blend of style and convenience. Whether it's for your living room, bedroom, or office, this fan offers powerful airflow, adjustable lighting, and easy operation at your fingertips!


✔ 3-in-1 Function – Cooling fan + LED light + remote control
✔ Energy-Efficient Design – Save power while staying cool
✔ Adjustable Brightness & Fan Speeds – Customize your comfort
✔ Silent Motor & Sleek Design – Perfect for any modern home
✔ Easy Installation – No hassle, just convenience


💬 What’s your favorite feature in a ceiling fan? Drop a comment below! 👇",QC Store,3629506,14362,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE,0.9872,0,0,0,0,0,0,0
5_3JIC6we7o,Best selling Smart BLDC Ceiling with Alexa | Atomberg Renesa Smart+ #smartfan #atombergfan #bldcfans,"Best selling Smart BLDC Ceiling with Alexa ||  Atomberg Renesa Smart+


#BLDCFan #SmartFan #Atomberg


Today I am unboxing one of the best smart BLDC ceiling fan in the market from Atomberg. It's a BLDC Smart Fan which saves 65% electricity and comes with smart features like voice control with Alexa and Google home, Atomberg Home Application. 

Buy links:

Renesa Smart+: 
Atomberg: 
Amazon: https://www.amazon.in/dp/B07QKKCBS2?tag=kprashant-21
Flipkart: https://fkrt.cc/EKLWLz81

Atomberg, is the leading brand in smartfans, has combined technology with energy efficiency to create the ultimate solution.

Key features of Atomberg Renesa Smart+:

Smart Control: Control your fan with ease using the mobile app, voice assistant, or remote control.

BLDC Motor: Enjoy efficient performance and energy savings with the powerful BLDC motor.

5-Star Rated by BEE: Recognized for outstanding energy efficiency by the Bureau of Energy Efficiency (BEE)

Easy to Clean: Hassle-free maintenance with a user-friendly design.

Upgrade your home with the smart BLDC fans Atomberg the best smart fans brand from India. Watch my review video to know more about these innovative fans and transform your living space today!

Don't forget to like, comment, and subscribe for more informative content on the latest smart technology.

Smart Ceiling Fan || Alexa + Remote Controlled | Atomberg Renesa Smart+ fan Unboxing & Review",DESi CONSUMEr,783648,0,129,15,4,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE,0.9953,11754720,0,0,0,0,0,0
k28Lo3hELmQ,[NEW 2025]🔥Best BLDC Ceiling Fan In India 2025🔥Best BLDC Ceiling Fan Under ₹2500 - ₹3000,"✨ BUY HERE to Support! (No Promotion – Just Honest Picks) 👇👇👇

✅ Best BLDC Ceiling Fans Under  ₹2,500

🌀 atomberg Ameza👉 https://amzn.to/45Hi0Yc
🌀 Orient Electric Uno BLDC👉 https://amzn.to/41vSvqb

✅ Best BLDC Ceiling Fans Under  ₹3,000

🌀 atomberg Efficio Alpha👉https://amzn.to/4oVUBtH
🌀 Crompton Energion HS👉 https://amzn.to/4p0vWnu

✅ Best BLDC Ceiling Fans Under  ₹3500 - ₹4000

🌀 atomberg Renesa👉 https://amzn.to/4p0QLz8
🌀 atomberg Renesa Elite👉 https://amzn.to/4lXpVp9

✅ Best SMART BLDC Ceiling Fans Under  ₹3500 - ₹4000

🌀 atomberg Renesa Smart👉 https://amzn.to/41RlncP
🌀 atomberg Renesa Elite Smart👉 https://amzn.to/4lPgXdm
🌀 Havells Ambrose👉 https://amzn.to/4fWZONA


👉 Best Amazon Deals & Discounts-  https://amzn.to/4gnfbhI

Looking for the Best BLDC Ceiling Fans in India 2025? 🌬️⚡ In this video, I’ll show you the top BLDC ceiling fans that save up to 65% electricity, run silently, and come with remote control features. Perfect for home & office use in India! 🇮🇳

⏱️ Time Stamps:
00:00 – Intro 🌟
00:45 – Why Choose BLDC Fans? ⚡
03:02 – Top 3 BLDC Ceiling Fans in India 2025 🏆
04:08 – Price, Features & Remote Control Benefits 🎮
04:33 – Final Verdict & Buying Links 📌

📌 Trending Searches in India 🔥:
#BestBLDCCeilingFan #CeilingFan2025 #EnergySavingFan #TopBLDCFan #AtombergFan #CromptonFan #HavellsFan

LET'S CONNECT
🌈 INSTAGRAM (@TechRxHub) ► https://instagram.com/techrxhub
🔵 TELEGRAM (@TechRxHub) ► https://t.me/techrxhub
📧 MAIL ► connect.techrx@gmail.com

TOPIC & QUERY COVERED:
Best BLDC Ceiling Fan in India 2025
BLDC ceiling fan review
energy saving fans India
top BLDC fans 2025
Atomberg BLDC fan review
best ceiling fan with remote 2025
best ceiling fan under 3000 India
best ceiling fan 2025 in india
best bldc fan 2025
bldc ceiling fan
best bldc fan
best bldc ceiling fan
best bldc ceiling fan in india 2025 Hindi
best bldc ceiling fan hindi
best bldc ceiling fan with remote
best bldc ceiling fan under 3000
best bldc ceiling fan 2025
best bldc ceiling fan in india 2025 under 3000
best bldc ceiling fan under 2500
bldc ceiling fan india
bldc ceiling fan Hindi
bldc ceiling fan repair
bldc ceiling fan vs normal ceiling fan
bldc ceiling fan connection
best bldc fans in india 2025
best bldc fan Hindi
best bldc motor
best bldc fan under 3000
best bldc fan 2025 in india
best ceiling fan under 3000
best ceiling fan under 2500
best ceiling fan bldc
best ceiling design
best ceiling fan in india
best ceiling lights for living room
best ceiling fan 2025 in india hindi
best ceiling design for small bedroom
best ceiling fan Hindi
best ceiling light
best ceiling fan
atomberg bldc ceiling fan
crompton bldc ceiling fan
havells bldc ceiling fan
best bldc fan in india
bldc fan review
bldc fan price in india
bldc motor fan
bldc motor fan in india
atomberg bldc fan
best fan under 2000
best fan under 3000
top 5 fans in india
bldc ceiling fan 2025
best smart ceiling fan amazon
best smart ceiling fans
smart ceiling fan review

NOTE: ALL THE IMAGES/PICTURES SHOWN IN THE VIDEO BELONG TO THE RESPECTED OWNERS AND NOT ME. I AM NOT THE OWNER OF ANY PICTURES SHOWN IN THE VIDEO. WE'RE ALSO PART OF THE AMAZON AFFILIATE PROGRAM BY WHICH WE EARN COMMISSIONS ON EVERY SALE.

★ Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational, or personal use tips the balance in favor of fair use.",TechRx Home,70520,413,61,20,10,3,2,5,2,3,0,0,0,0,0,0,0,POSITIVE,0.9997,1410400,211560,352600,211560,0,0,0
z34Sc3gbkWI,Tired of pulling chains to control your fan?  Upgrade to smart!,"In this quick DIY, I’m installing the Leviton Decora Smart Fan Switch—letting you control your ceiling fan straight from your phone or voice assistant! 💡🛠️
Perfect for any smart home setup.
⚡ Easy install
📱 App + voice control
💨 4 fan speed settings

Hit that follow for more DIY smart home upgrades!
#SmartHomeDIY #LevitonDecora #CeilingFanUpgrade #DIYReels #HomeImprovement #ElectricianInTraining #SmartSwitchInstall",The Life of the Zigs,12925,111,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE,0.9858,0,0,0,0,0,0,0
Mi47WrYB5mc,Best Smart fan For Home #shorts #youtubeshorts | Atomberg Aris Contour Smart 1200mm BLDC Ceiling Fan,"Best Smart fan For Home #shorts #youtubeshorts | Atomberg Aris Contour Smart 1200mm BLDC Ceiling Fan
Buying Link: https://amzn.to/4bb4vBd


#TechInnovation #SmartHome #CeilingFan #Atomberg #TechReview #SmartLiving #ModernDesign #GadgetLover #HomeTech #shailendrakhare",Shailendra Khare,491627,4173,41,5,2,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE,0.9482,2458135,0,0,0,0,0,0
wz0s6kUy5E4,I made my old fan smart - WiFi control high voltage devices with ESP32,"🔧 DIY smart fan project: ESP32, relays, and Home Assistant

⚠️ Safety Warning
This project involves working with high voltage (mains power). Do not touch the relay module or any exposed wiring while it’s connected to live power.
Always disconnect the device from power before wiring or making adjustments.
Proceed only if you understand the risks, otherwise, ask someone experienced with electronics to help.

🔗 Affiliate links for products used in the video:
As an Amazon Associate, I earn from qualifying purchases.
(Some links are affiliate links — I may earn a small commission at no extra cost to you.)
🔗 Amazon:
- 4 Relay Module (3v): https://amzn.to/4hqbE3F
- ESP32-c3: https://amzn.to/4nmJbgr or https://amzn.to/3WoPm8G
- Solder Seal: https://amzn.to/4qryqvV
- Jumper wires: https://amzn.to/476nRXH
- Soldering Iron (TS101): https://amzn.to/47EHKoT or https://amzn.to/47KXoy7

🔗 AliExpress:
- 4 Relay Module (3v): https://s.click.aliexpress.com/e/_c4VaqCRh
- ESP32-c3: https://s.click.aliexpress.com/e/_c44BuIBD
- Solder Seal: https://s.click.aliexpress.com/e/_c2QcBHvv
- Jumper Wires: https://s.click.aliexpress.com/e/_c3AYZFuf
- Soldering Iron (TS101): https://s.click.aliexpress.com/e/_c4nOP3Kb
- Third Hand Tool: https://s.click.aliexpress.com/e/_c4aopLfz

🎥💡🎤 My video setup:
Camera: https://amzn.to/482qz0B or https://amzn.to/47Sb2zp
Camera Lens: https://amzn.to/4nJ52P6
Dummy Battery: https://amzn.to/493ThPP
Lights: https://amzn.to/3Jt6yam & https://amzn.to/47ZZfAd
Microphone: https://amzn.to/49GjyDY

📌 Related links:
Full YAML code: https://gist.github.com/adrianslabu/91bf7586484f2f1b3973de915d6a3891#file-1-fan-yaml
Button YAML code (with dynamic icon): https://gist.github.com/adrianslabu/91bf7586484f2f1b3973de915d6a3891#file-bubble-card-button-yaml
Sensor for dynamic icon: https://gist.github.com/adrianslabu/91bf7586484f2f1b3973de915d6a3891#file-sensors-yaml",Adrian Slabu,37243,2734,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE,0.9997,0,0,0,0,0,0,0
RP3lTwigRb0,Atomberg Studio Nexus 1200mm BLDC Ceiling Fan with & Remote Control 5-star New Blade Design #sorts,"Atomberg Studio Nexus 1200mm BLDC Ceiling Fan | IoT Smart Remote | 5 Star Energy Saving Fan | New Blade Design #ytshorts #homelighting #sorts #homedecor #youtubesorts #diy 
#electricalwork #lightingideas #ceilingfan 

---

📝 Description:

Experience the future of cooling with the Atomberg Studio Nexus 1200mm BLDC Ceiling Fan — powered by IoT technology and designed for smart living.
This energy-efficient 5-star rated fan comes with a remote control, Wi-Fi connectivity, and a stylish new blade design for superior air delivery and modern aesthetics. Perfect for homes, offices, and smart interiors.

✨ Key Features:

1200mm BLDC motor for ultra-efficient performance

Smart IoT control (Wi-Fi, Alexa, Google Assistant support)

Premium design with new aerodynamic blades

Energy saving up to 65%

Remote control operation (speed, timer, boost mode)

Silent operation & high air delivery


📦 Product: Atomberg Studio Nexus 1200mm Smart BLDC Fan
📍 Category: Smart Ceiling Fan / IoT Fan / BLDC Fan
🎥 Watch the full fitting and demo in this video!


---

🔑 Keywords:

Atomberg Studio Nexus fan, Atomberg BLDC ceiling fan, 1200mm smart ceiling fan, IoT ceiling fan India, energy saving fan, 5 star ceiling fan, Atomberg Nexus review, BLDC motor fan, smart home fan, remote control ceiling fan, Atomberg Studio Nexus features, Atomberg ceiling fan 2025


---

🔖 Hashtags:

#AtombergFan #BLDCFan #SmartFan #IoTFan #CeilingFan #EnergySavingFan #RemoteControlFan #HomeAppliances #AtombergStudioNexus #5StarFan #SmartHome #InteriorDesign #FanInstallation #ModernFan",Aj lights,5059,37,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE,0.9974,55649,0,0,0,0,0,0
JajqT3dcTMQ,I Tested Smart Fan ft. Polycab Wizzy Neo With LED BLDC Ceiling Fan,"Polycab Wizzy Neo 1200mm 5-Star BLDC, Remote Ceiling fan: https://amzn.to/44IiRrB

Looking for a modern, energy-saving ceiling fan that’s smart, stylish, and silent? I tested the Polycab Wizzy Neo BLDC Ceiling Fan, and in this video, I’m sharing a full hands-on review with real usage, features demo, remote control test, and LED speed indicator in action! 🔥

✨ What’s Covered in This Video:

📦 Unboxing & First Look – Stylish design, build quality, and LED ring
⚙️ BLDC Technology Explained – Up to 55% energy saving compared to normal fans
🔄 25-Speed Remote Control Demo – From ultra-low to high boost mode
⏰ Smart Features:
Timer mode
Sleep mode
Fine speed control with 0.5-point increments
Reverse mode for winter airflow
🔋 Power Consumption Test – Actual watt usage vs traditional fan
🔇 Noise Level Check – Ultra-quiet operation for bedrooms & study rooms
🌬️ Air Delivery & Comfort Test – Speed, coverage, and cooling performance
🛠️ Installation Tips & Mounting Advice

✅ Is It Worth Buying in 2025? – Final verdict for home users

Whether you're upgrading your ceiling fan or switching to BLDC for energy savings, the Polycab Wizzy Neo might just be your perfect smart home upgrade.

#polycab #bldc #bldcceilingfan 

Gadgets I Use 

All Gadgets- https://amzn.to/3WUw9wO
Mic- https://amzn.to/4iZV5Ly
Keyboard&Mouse- https://amzn.to/42kwoCT
Canon EOS M50 Mark II- https://amzn.to/4iDyFjn
Canon RF 50mm- https://amzn.to/4hQS1jW\
Tripod- https://amzn.to/4j0Aqa8
Ring Light- https://amzn.to/4bZsfsk
SoftBox- https://amzn.to/4bYvbFD
Soundbar- https://amzn.to/4j1Cq1Y
Monitor- https://amzn.to/41Xvvjo

---[Topics Covered]---
polycab wizzy neo ceiling fan with led
polycab wizzy neo review
polycab wizzy neo led ceiling fan
polycab wizzy neo ceiling fan
polycab wizzy neo 1200mm 5-star bldc remote ceiling fan for home
polycab wizzy neo ceiling fan installation
polycab wizzy neo ceiling fan review
polycab wizzy neo bldc ceiling fan
polycab wizzy neo 1200mm 5-star bldc
polycab wizzy neo ceiling fan unboxing
polycab wizzy neo led 1200mm 5-star bldc
best bldc ceiling fan 2025
bldc ceiling fan with remote
=========================================

---------[Connect with Me]---------
🌐 Instagram: https://www.instagram.com/technicohimanshu/
🌐 Facebook:  https://www.facebook.com/technicohimanshu
🌐Telegram: https://t.me/technicohimanshu
🌐 Twitter: https://x.com/technicohimansh
🌐Linkedin: https://www.linkedin.com/in/himanshu-maddheshiya-298059210
🌐WhatsApp Channel: https://whatsapp.com/channel/0029VaBlHT49MF94bnImAj28
🌐Website - https://technicohimanshu.com/

► For Sponsorship - contact@technicohimanshu.com

=========================================

Copyright Disclaimer: - Under section 107 of the copyright Act 1976, allowance is mad for FAIR USE for purpose such a as criticism, comment, news reporting, teaching, scholarship and research. Fair use is a use permitted by copyright statues that might otherwise be infringing. Non- Profit, educational or personal use tips the balance in favor of FAIR USE.",Technico Himanshu,26444,209,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE,0.9937,0,0,0,0,0,0,0
geCm5sV93QI,Best ceiling Fan | BLDC Fan,"Best Smart Ceiling Fan in India 2025 | Top BLDC Ceiling Fan Brands.

**********************************
📱Our Social Accounts:

📷To Get Offers and Deals on Instagram
https://instagram.com/brand_investigation  

💬To Get Offers and Deals on WhatsApp Channel 
https://whatsapp.com/channel/0029Va9yNZuKrWQyQdeazW23

🔥To Get Offers and Deals on Telegram Channel :
https://t.me/BrandInvestigation

***********************************

For Business related queries. kindly contact us for further details
Email :  utubebrand@gmail.com

***************************
These Rankings, Reviews, Analyses, views and opinions expressed in this video are not meant to hurt any individual & Organizations. we cannot held liable in such situations.
This channel content of the product exposed from Amazon Affiliate Program, Impact, Shareasale etc..
DISCLAIMER: I get commissions for purchases made through links that are given in this video description. Video content is based on my research and hard work.

Note: The following Content of Comparison is based on customer reviews and experiences, gathered from online reviews and ratings.
It's advisable to do research and compare products from different brands to find the best fit for you.",Brand Investigation,84320,344,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE,0.979,0,0,0,0,0,0,0
w-duNH8Jiew,Atomberg Renesa Prime Ceiling Fan With Remote Control Review 💫 BLDC Motor Fan,"This is review video of atomberg renesa prime ceiling fan. It has 3 wings. It works on bldc motor technology for fast and noiseless working.

#fan 
#ceilingfan 
#atomberg 
#bestceilingfan 


Disclaimer :- This review video is my own opinion on products which is seen in the video. It is not the expert opinion. It is strictly not the expert recommendation to buy the products. Before buying any products you must visit the product's official website and read the necessary information about the products.",Everything Unbox Junction,197457,869,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE,0.7096,592371,0,0,0,0,0,0
kYQAEnBlvb4,Orient Aerosense BLDC | Smart and Silent Fan | Premium BLDC Ceiling Fan,"he perfect collab between tech and design.

Presenting the next-gen Orient Electric Aerosense with low noise operation, IoT enabled voice control, and vibrant colours that suit all modern spaces.

Visit www.orientelectric.com today!

#ceilingfan #fan #orientelectric #bldcfan #smart",OrientElectric,23378,185,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,POSITIVE,0.9117,0,93512,0,0,0,0,0
YFkEL1qENJo,Atomberg Studio Smart+ BLDC Fan,,Buying Guide Telugu,152135,5207,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE,0.3182,152135,0,0,0,0,0,0
-j7uxC8Yg94,Smart Fan #fan #atomberg #wifi #air #shorts #short #homedecor #home #homeappliances #smart #gadgets,,Breakless Unboxing,10047,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,POSITIVE,0.6124,10047,0,0,0,0,0,0
eUqNCj2T55I,Atomberg renesa smart plus 1200 mm ceiling fan pearl white unboxing #atomberg #atombergfan #renesa,,Gtfuturetechnology,608093,2937,38,7,4,0,0,2,2,1,1,0,0,0,0,0,0,POSITIVE,0.9147,4256651,0,1216186,608093,0,0,0
